Title,Wirkstoff,Wirkstoff-Gruppe,Max. Einsätze pro Jahr,Dosis pro HL,Dosis pro HA,Karenzzeit,bienengefährlich,Einschränkung
Concorde 125,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Concorde 40 EW,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Contender 80 WG,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Contender 800,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Contender WG,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Coprantol WG,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Coragen,X,,X,X,X,X,X,
Cosavet DF Edge,5,,,5,,5,,
CoStar WG,"1,5 kg",,"1,5 kg","1,5 kg","1,5 kg",,,
Crittovit WG,5,,,5,,5,,
Crittox GD 75,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Crittox MZ 80,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Cupravit Blu 35 WG,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Cupro Isagro WG,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Cuprocaffaro Micro,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Cuprofix Ultra Disperss,max. 4 kg Reinkupfer pro ha und Jahr,,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Cuproram 25 Flow,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Cuprosar 40 WDG,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Cuprossil Idro New 20 WG,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Cuprotek Disperss,max. 4 kg Reinkupfer pro ha und Jahr,,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Cuproxat SDI,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Curenox Top Micro,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Cutril Top,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
CYD-X,3,,3,,3,3,,
CYD-X X-TRA,1,,1,,1,1,,
Cylex Plus,90,,90,90,,90,,
Cyprus 25 WG,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Cyprus 25 WG blu,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Decis Evo,Maxima 1 Behandlung pro Jahr,,Maxima 1 Behandlung pro Jahr,Maxima 1 Behandlung pro Jahr,Maxima 1 Behandlung pro Jahr,Maxima 1 Behandlung pro Jahr,Maxima 1 Behandlung pro Jahr,Maxima 1 Behandlung pro Jahr
Defense 80 WP,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Delan 70 WG,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Delan Pro,"max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr","max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr","max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr","max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr","max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr","max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr",,"max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr"
Delan SC,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Delegate WDG,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr
Delfin,1 kg,,1 kg,1 kg,1 kg,,,
Deneb 75 DG,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Design WG,2 kg,,2 kg,2 kg,2 kg,,,
Diablo SC,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Difcor 250,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Difenzone,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Difference,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Dinapic,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Dipel DF,"1,5 kg",,"1,5 kg","1,5 kg","1,5 kg",,,
Dira-Max LG,7,,,7,,7,,
Diractin,3,,3,3,3,3,,
Diradone,30,,,30,30,30,,
Dirager,7,,7,7,7,7,,
Dirager SL,7,,7,7,7,7,,
Diramid,Blühende,,Blühende,Blühende,Blühende,Blühende,,
Diramid WP,Blühende,,Blühende,Blühende,Blühende,Blühende,,
Disco,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Dithane DG Neotec,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Dithane M-45,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Dithane M-45 WP,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Divo,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
